2010.06.22T20:45:00,1
2010.06.23T20:30:00,0
2010.06.24T03:05:00,1
2010.06.24T04:55:00,1
2010.06.25T00:10:00,1
2010.06.25T13:45:00,0
2010.06.25T19:30:00,0
2010.06.28T18:20:00,0
2010.06.30T08:35:00,0
2010.06.30T19:00:00,1
2010.07.01T15:45:00,0
2010.07.02T09:15:00,1
2010.07.02T11:55:00,0
2010.07.02T13:55:00,0
2010.07.05T10:05:00,1
2010.07.05T17:00:00,1
2010.07.05T20:25:00,1
2010.07.06T06:50:00,0
2010.07.07T16:35:00,1
2010.07.07T22:20:00,0
2010.07.08T03:35:00,1
2010.07.08T21:40:00,0
2010.07.09T01:25:00,0
2010.07.09T14:35:00,1
2010.07.12T06:05:00,0
2010.07.13T14:50:00,1
2010.07.15T02:00:00,0
2010.07.15T10:15:00,0
2010.07.15T14:15:00,0
2010.07.16T06:10:00,1